REF	Company (Manufacturer)	Company Location	Review Date	Country of Bean Origin	Specific Bean Origin or Bar Name	Cocoa Percent	Ingredients	Most Memorable Characteristics	Rating
3004	ChocoMe	Hungary	2025	Venezuela	Choroni, Hacienda la Sabaneta, b. BB103	72%	3- B,S,C	mild nutmeg, grapefruit, plum	3.5
3004	ChocoMe	Hungary	2025	Venezuela	Chuao +nibs, Aragua,Empresa Campesina, b. BB102	72%	3- B,S,C	sl.fruit,large crisp nibs dominate	3
3004	ChocoMe	Hungary	2025	Madagascar	Bejofo Estate, Akesson	69%	3- B,S,C	sl. sandy, citrus, chocolatey	3.5
3000	Chef Kankel	Spain	2025	Philippines	Davao, Isla de Mindanao, Finca Regalo, lot 603	75%	3- B,S,C	sandy, sweet hazelnut	3.5
2984	Acaoyer	France	2025	Madagascar	Sambirano	70%	3- B,S,C	sticky, nutty, fatty, some fruit	3
2996	Carobeans	U.S.A.	2025	Bolivia	Alto Beni	70%	3- B,S,C	spice, honey, raw, sl. off note	3
2996	Wallace	Canada	2025	Philippines	Kablon Farms, batch 199	76%	2- B,S	dried fruit, mild bitter, astringent	3
3004	Soma	Canada	2025	Venezuela	Ancestral(Guasare,Porcelana,Loberta,Nocillero,Tove)	70%	3- B,S,C	butterscotch, pear, nut, fudgey	3.75
3000	Soma	Canada	2025	Vanuatu	Pinalum Village, Ramage, Malekula Island	70%	3- B,S,C	malt, dried fruit, cocoa, sweet	3.25
2984	Sleepwalk	U.S.A.	2025	Guatemala	Criollo Rosado, San Jeronimo Miramar	70%	2- B,S	powdery, ham, nut, grape	2.5
2988	Sibo	Costa Rica	2025	Costa Rica	Costa Rica, lot 297523092025	70%	4- B,S,C,L	fatty, over roasted, sl off notes	2.5
2976	Seahorse	U.S.A.	2025	Belize	Finca Chocolat	75%	2- B,S	roasty, dried fruit, deep cocoa	3.5
2980	Raphio	U.S.A.	2025	Madagascar	Bejofo Estate, Ambanja	72%	3- B,S,C	roasty, muted fruit/sourness	3
2980	Raphio	U.S.A.	2025	Indonesia	West Papua, Ebier Suth Cokran Coop	72%	3- B,S,C	cherry, smoke, roast	3.5
2980	Raphio	U.S.A.	2025	Indonesia	Sumba Island, Ghaura Plantation	72%	3- B,S,C	smokey, ham, cocoa, sour	2.75
2988	Racine Carree	France	2025	Peru	San Jose de Sisa	72%	2- B,S	bold, tart, fruit	3.25
2992	Racine Carree	France	2025	Peru	Alto Huayabamba	67%	2- B,S	fruit, grass, sl. off chemical	3
2992	A-Typica	France	2025	France (Martinique)	Martinique, batch 2529-A	76%	2- B,S	black tea, dirty, roasty	2.5
2988	Palette de Bine	Canada	2025	U.S.A.	Hawaii, O'ahu North Shore, Mapele Fields Kahalu'u	70%	2- B,S	chewy, fruit, plum, sweet	3.75
2992	Meybol	Germany	2025	Peru	Mazamari	70%	3- B,S,C	chunky, grape, pungent, exciting	3.5
3000	Maverick	U.S.A.	2025	Vietnam	Ben Tre	75%	4- B,S,C,L	sandy, sweet, malt, sour	3
2980	Manoa	U.S.A.	2025	U.S.A.	Hawaii, Honoli'l Orchards	70%	3- B,S,C	creamy, pungent, spicy, fruit	3.75
3000	Levelez	Mexico	2025	Mexico	Tabasco, Cerro Blanco community, Tacotalpa	75%	3- B,S,C	grassy, herbal	3.25
2996	L'Artisan du Chocolat	France	2025	Cuba	Cuba	78%	3- B,S,C	roasty, sweet, spicy	3
2976	Jangala	Mexico	2025	Mexico	Xoconusco, Chiapas, Huehuetan, 4 Brothers Farm	70%	3- B,S,C	savory, ham, cocoa, caramel	3
2976	Jangala	Mexico	2025	Mexico	Tabasco, Dalia "Women of Cacao", Comalcalco	77%	2- B,S	caramel, muted fruit & tobacco	3
2984	Fruition	U.S.A.	2025	U.S.A. (Puerto Rico)	Puerto Rico, Hacienda Jean Marie, Aguada	70%	3- B,S,C	woody, earthy, spice, fruit	3.25
2996	Feliu	Mexico	2025	Mexico	Tabasco, Chontalpa	70%	3- B,S,C	sandy, nutty, woody, spicy	3
2988	Exquisito	U.S.A.	2025	Mexico	Agrofloresta	70%	3- B,S,C	earthy, woody, sl. Rubber off	2.75
2900	Elsa	Belgium	2024	Philippines	Auro Mana	74%	2- B,S	choco, hazelnut, cigarette	3
2916	Disidente	Colombia	2024	Colombia	Rio Sinu, lot# 00251	75%	3- B,S,C	nutty, earthy, fatty	2.75
2916	Deeper	China	2024	Uganda	Semuliki Forest	75%	3- B,S,C	dried fruit, banana, cocoa	3.5
2920	Deeper	China	2024	Thailand	Thailand	70%	3- B,S,C	leafy green, sl. sour, astringent	3.25
2920	Deeper	China	2024	Tanzania	Kokoa Kamili	72%	3- B,S,C	fruity, cherry, choco	3.75
2920	Deeper	China	2024	Peru	Cusco, Chuncho	72%	3- B,S,C	pungent, cherry, acidic	3.5
2916	Deeper	China	2024	Ecuador	Costal Esmeraldas, nacional hybrids	72%	3- B,S,C	sticky/gummy, nutella, dairy	4
2884	Allo Simonne	Canada	2024	Philippines	Cotabato, lot 307-339-23	70%	3- B,S,C	muted,spice notes, nutty, cocoa	3
2924	20/20	Venezuela	2024	Venezuela	Chuao, Hacienda Luna Clara, Aragua	70%	2- B,S	choco, fruity, chemical off	2.5
2964	Conjure	U.S.A.	2024	Ghana	Three Mountains, batch 9	70%	3- B,S,C	brownie, unintended spice add?	2.75
2908	Conche	Japan	2024	Venezuela	Chuao	70%	3- B,S,C	muted strawberry, nutty, earthy	3
2912	Conche	Japan	2024	Tanzania	Tanzania	70%	3- B,S,C	fatty, melon, brownie, clean	3.5
2908	Conche	Japan	2024	India	India	70%	3- B,S,C	mild caramel, butterscotch	3.5
2912	Conche	Japan	2024	Haiti	Haiti	70%	3- B,S,C	sandy, grassy, tobacco, sl. Sour	3.5
2908	Conche	Japan	2024	Grenada	Grenada	70%	3- B,S,C	green, hebal profile, fatty	3.25
2904	Conche	Japan	2024	Ghana	Ghana	70%	3- B,S,C	harsh, rich, earthy, nutty	3
2908	Conche	Japan	2024	Ecuador	Ecuador	70%	3- B,S,C	sandy, black pepper, almond	3.25
2912	Conche	Japan	2024	Belize	Belize	70%	3- B,S,C	fruit punch, sl. sour-sandy-fatty	3.5
2880	Chokaico	U.S.A.	2024	Nicaragua	Matagalpa, Bisiesto Criollo, Harvest 2022	70%	3- B,S,C	rubber, squash, almond butter	3
2904	Castronovo	U.S.A.	2024	Philippines	South Cotabato, batch 1487	72%	3- B,S,C	nutty, spicy, orange peel	3.25
2888	A. Morin	France	2024	Vietnam	Than Long, Ben Tre region	70%	4- B,S,C,L	rich, high astringency, late malt	3
2928	Cacao Store	Japan	2024	Venezuela	Chuao	70%	3- B,S,C	intense, prune, sourdough	3.25
2928	Cacao Store	Japan	2024	Mexico	Soconuzco	70%	3- B,S,C	dessert (sweet), nutella	3.25
2892	Vigdis Rosenkilde (Cacaosuyo)	Peru	2024	Peru	Piura Blanco w/ nibs	70%	3- B,S,C	strawberry, sweet, cookie, crisp	3.5
2936	Tierra Bandita	El Salvador	2024	El Salvador	El Salvador	80%	3- B,S,C	grainy, mild coffee, sweet	2.75
2884	Belu Cacao	El Salvador	2024	El Salvador	El Salvador, lot 80823	70%	3- B,S*,C	grassy, cocoa, earthy	3
2944	Soma	Canada	2024	Tanzania	Kokoa Kamili, Mbingu Village, b. 18170KAM241009	70%	3- B,S,C	strawberry, choco, banana	4
2928	SLOK	China	2024	Peru	Chuncho, batch 80175	72%	2- B,S	pungent, fruit, metallic	3
2896	Shane Chocolate Works	U.S.A.	2024	Blend	Benjamin Jackson	70%	3- B,S,C	coarse, sweet, peanut butter	3
2940	Seahorse	U.S.A.	2024	Vietnam	Dak Lak	70%	2- B,S	grapefruit, caramel, cocoa	3.5
2948	Seahorse	U.S.A.	2024	Vietnam	Tien Giang	70%	2- B,S	dried fruit, slight burnt, cheese	3.25
2936	Seahorse	U.S.A.	2024	Peru	Cusco	70%	2- B,S	oily surface, grape, sl. burnt	3.5
2956	Seahorse	U.S.A.	2024	Indonesia	Ransiki	75%	2- B,S	roasty, cocoa, mild bitter	3.25
2960	Seahorse	U.S.A.	2024	Ghana	Three Mountains	75%	2- B,S	black licorice, ashy, molasses	3
2940	Seahorse	U.S.A.	2024	Blend	"Left of the Dial", Africa, Latin America	80%	2- B,S	spicy, cocoa, roasty	3.5
2888	Seahorse	U.S.A.	2024	Blend	A.M. Gold, Americas and Pan Asia	69%	2- B,S	nut, cocoa, fruit	3.5
2936	Sam Schoggi	Switzerland	2024	Madagascar	Madagascar	70%	2- B,S	strawberry cereal, choco	3.5
2900	Reen (Chocolatoa)	Belgium	2024	Peru	Cuzco, "Ganzo" variety	76%	3- B,S,C	choco dominates, some grape	3.25
2904	Pure Imagination (Chocolatoa)	Belgium	2024	Peru	Cusco, Inti, "Ganzo" variety	70%	3- B,S,C	apricot, mild, pleasant, sour	3.25
2884	Polato	Honduras	2024	Honduras	La Masica, Mayan Red, lot 00718	70%	2- B,S	soy sauce, umami, burnt-ham	2.75
2896	Pierre Plas	Belgium	2024	Brazil	Brazil	70%	3- B,S,C	caramel, earthy	3
2972	Paradai	Thailand	2024	Thailand	Chantaburi	70%	2- B,S	light brown, pungent, cider	3.75
2972	Paradai	Thailand	2024	Thailand	Nakhon Ratchasima	70%	2- B,S	fruity, light pungent, cocoa, sour	3.25
2972	Paradai	Thailand	2024	Thailand	Sisaket	70%	2- B,S	orange,sl. sour,off-musty,earthy	3
2912	One One Cacao	Jamaica	2024	Jamaica	St. Mary, batch 21/01/24	71%	3- B,S,C	muted, paper notes, sl. off	2.75
2940	Aruntam	Italy	2024	Peru	Piura Albino, Gran Nativo Blanco, "Uncommon", 2017	72%	3- B,S,C	prune, cookie, sour	3
2924	Okochoko	Benin	2024	Benin	Benin (West Africa)	70%	4- B,S,L,Sa	sandy,almond butter, cardboard	2.75
2932	Notes de Feve	Switzerland	2024	Cameroon	Ngondo Yabassi, Noa Noa Choc	78%	3- B,S,C	dirty, earhy, off	2.5
2892	Naïve	Lithuania	2024	Peru	VRAE-99, nanolot	70%	3- B,S,C	distinct,orange peel,apple,cocoa	4
2892	Monsoon	U.S.A.	2024	Vietnam	Ben Tre, batch 2	70%	3- B,S,C	raisin, sour, roasty, chemical	2.5
2904	Meybol	Germany	2024	Peru	VRAEM, Inti, Chuncho	70%	3- B,S,C	intense, grape, sharp, sour	3.75
2916	Metiche	Mexico	2024	Mexico	Tabasco, Comalcalco, lot# 150126	75%	3- B,S,C	sandy, light caramel, yogurt	3.5
2948	Mellow	Denmark	2024	Madagascar	Bejofo Estate, H. 2022	74%	2- B,S	fruity and sl. over roast	3.5
2940	Aroko	Italy	2024	Venezuela	Sur del Lago, Zulia State, lot 40712301	71%	3- B,S,C	mild nutty, spicy, clean	3.25
2936	Mazur	U.S.A.	2024	Madagascar	Madagascar	72%	3- B,S,C	dense, mellow fruit(strawberry)	3.5
2896	Maychoco	Spain	2024	Peru	Cuzco	70%	3- B,S,C	sandy, blueberry, choco	3
2948	A. Craft	U.S.A.	2024	Tanzania	Kokoa Kamili, batch 4	65%	3- B,S,C	sweet, cocoa, cherry	3.25
2900	Madalo	Belgium	2024	Vietnam	Vietnam	75%	3- B,S,C	muddy, perfume, rubber	2.5
2952	A. Craft	U.S.A.	2024	Peru	Ucayali, batch 4	65%	3- B,S,C	pungent grape, apple, tart	3
2932	Livstory	Romania	2024	Uganda	Semuliki, H. 2023, Lot UG-05	70%	2- B,S	pear, cocoa, slightly sour	3.5
2932	Livstory	Romania	2024	Ecuador	Hacienda Victoria, H. 2023, Lot ECV-01	70%	2- B,S	rich, strawberry, blueberry	4
2968	Lewis Pogue	U.S.A.	2024	Guatemala	Santa Maria Cahabon, b. 05402B	72%	3- B,S,C	delicate floral and spice, cocoa	3
2964	Lewis Pogue	U.S.A.	2024	Ecuador	South Central Ecuador, b. 05802A	72%	3- B,S,C	roasty, honey, earthy	3
2964	Lewis Pogue	U.S.A.	2024	Dominican Republic	Oko Caribe, b. 05102A	72%	3- B,S,C	roasty, fudge/brownie, earthy	3
2968	Lewis Pogue	U.S.A.	2024	Colombia	Tumaco	72%	3- B,S,C	slight fruit, sweet, dirty, harsh	2.75
2968	Lewis Pogue	U.S.A.	2024	Bolivia	Wild Itenez, Baures, b. 07501A	72%	3- B,S,C	deep cocoa, roasty, nut, savory	3.25
2968	Lewis Pogue	U.S.A.	2024	Belize	Maya Mountain, South Stannon Creek, b. 04701A	72%	3- B,S,C	raisin, grape concentrate	3.5
2900	Lady Mervelles	France	2024	India	India	75%	2- B,S	tangy, acidic	3
2948	A. Craft	U.S.A.	2024	India	Anamalai, batch 1	70%	3- B,S,C	mild, raisins, pear	3
2944	Krak	Netherlands	2024	Vietnam	Anh Em Bio, H. 2021	70%	3- B,S,C	dairy, tea, sweet	3.25
2944	Krak	Netherlands	2024	Tanzania	Kokoa Kamili, H. 2021	70%	3- B,S,C	rich choco, nutty, fatty	3
2880	Krak	Netherlands	2024	Mexico	Don Moises nano batch	70%	2- B,S	rich, cranberry, sour	3.5
2944	Krak	Netherlands	2024	Belize	Peini, H. 2019	70%	3- B,S,C	muted, floral, earthy, hazelnut	3
2884	Kan Vela	Thailand	2024	Thailand	Chiang Mai	70%	3- B,S,C	sweet, cocoa, fruit, hazelnut	3.25
2920	Kakoa	Mexico	2024	Mexico	Chiapas, Pichucalco, Hacienda Napana	76%	2- B,S	rubber, earthy, black tea	2.5
2928	Jaws & Claws	Malaysia	2024	Malaysia	Pasir Puteh Estate, Sabah	70%	2- B,S	sandy, chunky, fruit, chemical	3
2932	Jaws & Claws	Malaysia	2024	Malaysia	Salung Estate, Sabah	70%	2- B,S	floral, honey, chemical	2.75
2952	A. Craft	U.S.A.	2024	Dominican Republic	Zorzal, batch 1	70%	3- B,S,C	sl. sandy, cocoa, earthy	3
2972	Idilio (Felchlin)	Switzerland	2024	Venezuela	Las Trincheras	74%	3- B,S,C	roasty, nutty, fatty, sour melon	3.25
2952	Holly Lane	U.S.A.	2024	Tanzania	Kokoa Kamili	70%	3- B,S,C	berry "kool-aid", cinamon	3.25
2952	Holly Lane	U.S.A.	2024	Ecuador	Camino Verde	70%	3- B,S,C	pepper, cinamon, off chemical	2.75
2956	Holly Lane	U.S.A.	2024	Dominican Republic	Zorzal	70%	3- B,S,C	sandy, sweet, roasty, spice	3
2896	Gusta	Belgium	2024	Colombia	Sierra Nevada	70%	2- B,S	pear, chemical, perfume	2.75
2924	Gamma	China	2024	Venezuela	Chuao	70%	3- B,S,C	black licorice, petro off note	2.75
2924	Gamma	China	2024	Belize	Maya Mountain	70%	3- B,S,C	must, metallic off, flat	2.75
2964	Front Porch	U.S.A.	2024	Ghana	Three Mountains, batch 1121	70%	2- B,S	coconut, brownie	3.25
2956	Front Porch	U.S.A.	2024	Ecuador	Camino Verde, batch 1112	70%	2- B,S	bold, roasty, coffee, cookie	3.25
2960	Front Porch	U.S.A.	2024	Dominican Republic	Zorzal, batch 1119	70%	2- B,S	prune, deep cocoa, roasty, off	3.5
2956	Front Porch	U.S.A.	2024	Blend	Zorzal(D.R.), Gola Rainforest(S.L.), Camino Verde(E)	70%	2- B,S	dense, coffee, fudge	3.25
2960	Fresco	U.S.A.	2024	Ghana	Three Mountains, #265, LR, SC, b. 24-726	70%	3- B,S,C	marshmallow, clean, brownie	3.5
2960	Fresco	U.S.A.	2024	Ghana	Three Mountains, #266, DR, SC, b. 24-728	70%	3- B,S,C	marshmallow, sl. ham, brownie	3.5
2888	Feliu	Mexico	2024	Mexico	Chiapas, Finca la Rioja	73%	3- B,S,C	grits, plum, blackberry, sl. Off	3.25
2888	Feliu	Mexico	2024	Mexico	Soconusco, Chiapas	71%	3- B,S,C	grits, molasses, honey, toffee	3
2892	Feliu	Mexico	2024	Mexico	Chiapas, Flor de un Dia	70%	3- B,S,C	grits, black tea, sour dough	2.5
2812	Ethereal	U.S.A.	2023	Haiti	Haiti	70%	2- B,S	sandy, sweet, candy-like	2.5
2828	Essenz	Spain	2023	Uganda	Uganda	80%	2- B,S	fatty, fruit, deep cocoa	3.25
2872	Amano	U.S.A.	2023	Venezuela	Cuyagua	70%	4- B,S,C,V	nutty, melon, faint vanilla	3
2836	Ducrey	U.S.A.	2023	Peru	Piura, batch 050223	70%	2- B,S	bold, grapes, roasty, chocolatey	3.5
2852	Ducrey	U.S.A.	2023	Peru	Chuncho, Cusco, b. 090723	60%	2- B,S	very sweet, cocoa	3
2848	Ducrey	U.S.A.	2023	Peru	Chuncho, Cusco	75%	2- B,S	malted hot cocoa, sandy, roasty	3
2836	Ducrey	U.S.A.	2023	Peru	Piura, batch 042023	75%	2- B,S	savory, sl. sour	3
2852	Ducrey	U.S.A.	2023	Mexico	Tabasco	70%	2- B,S	burnt brownie, sweet	3
2836	Ducrey	U.S.A.	2023	Haiti	PISA, batch 040523	60%	2- B,S	gritty,sweet,brownie,maple syrup	3
2880	Christopher Elbow	U.S.A.	2023	Madagascar	Akesson Estate	70%	3- B,S,C	strawberry, chocolatey	3.5
2824	Chokola	U.S.A.	2023	Venezuela	Chuao, harvest 2020	75%	2- B,S	sandy, dried fruit, earth, tobacco	2.5
2844	Chocolate Thunder	U.S.A.	2023	Vietnam	Dak Nong, batch 0010	70%	2- B,S	chewy, prune, late pungency	3.25
2844	Chocolate Thunder	U.S.A.	2023	Madagascar	Sambirano Valley, batch 0013	70%	2- B,S	hint of cherry, burnt, soapy	2.5
2844	Chocolate Thunder	U.S.A.	2023	Colombia	Tumaco, batch 0003	70%	2- B,S	caramel, mild butterscotch	3.5
2844	Chocolate Thunder	U.S.A.	2023	Colombia	Chaparral, batch 0004	70%	2- B,S	rum, chemical, off minty	2.5
2812	Chocolate Inn	U.S.A.	2023	Madagascar	Bejofo	70%	3- B,S,C	cocoa, dried fruit, sour milk	3
2812	Chocolate Inn	U.S.A.	2023	Haiti	PISA	69%	3- B,S,C	earthy, floral, slight mustiness	3
2812	Chocolate Inn	U.S.A.	2023	Dominican Republic	Zorzal	75%	3- B,S,C	cocoa, vanilla, burn astringency	3
2860	ChocoKoo	Estonia	2023	Guatemala	Lachua	80%	3- B,S,C	fig, sweet edge, sl. burnt toast	3.25
2876	Castronovo	U.S.A.	2023	Venezuela	Piaroa, Amazonas,(also b. 350 ref #1574 from 2015)	72%	3- B,S,C	malt, forest berry	3.75
2852	Castronovo	U.S.A.	2023	Peru	Salitral, "Desert Criollo"	70%	3- B,S,C	condensed fruit, spice, cocoa	4
2856	Castronovo	U.S.A.	2023	Peru	Awajun, "Rainforest Cacao"	70%	3- B,S,C	nut, sweet, woody, hay	3.5
2852	Castronovo	U.S.A.	2023	Dominican Republic	Zorzal, 10th Anniversary Bar, b. 1341	72%	3- B,S,C	hazelnut,almond butter,raspberry	3.75
2832	Bonnat	France	2023	Uganda	Uganda, Geant des Brames	75%	3- B,S,C	orange peel, nutty, fatty, roasty	3.25
2832	Bonnat	France	2023	Mexico	Mexico, Kuna Balam	75%	3- B,S,C	fatty, flat, charred, orange peel	2.75
2872	Bixby	U.S.A.	2023	Belize	Belize	70%	2- B,S	swee, cocoa, cookie	3
2828	Utopick	Spain	2023	Uganda	Semuliki	70%	3- B,S,C	nut, grain, soy milk	3
2816	twenty-four blackbirds	U.S.A.	2023	Madagascar	Bejofo, lot 650	75%	3- B,S,C	molasses, tangy, caramel	3.5
2816	twenty-four blackbirds	U.S.A.	2023	Honduras	Wampusirpi, lot 647	75%	3- B,S,C	wine, dried apricot	3.5
2816	Spinnaker	U.S.A.	2023	Tanzania	Kokoa Kamili, batch 124.1	70%	2- B,S	smooth, strawberry, cocoa	3.5
2864	Beaningul	Lithuania	2023	Peru	Urubamba	70%	3- B,S,C	fig, slight caramel	3.25
2864	Beaningul	Lithuania	2023	India	Idukki	70%	3- B,S,C	nutmeg, prune, tobacco	3.25
2860	slowww melt	China	2023	China	Hainan	70%	3- B,S,C	fatty, bread, molasses	2.5
2856	Sleepwalk	U.S.A.	2023	Mexico	Chiapas, Ostuacon, "Blanco Jaguar"	70%	2- B,S	fruit, caramel, clean	3.75
2856	Sleepwalk	U.S.A.	2023	Mexico	Chiapas, Tuzantan, "El Vado"	70%	2- B,S	melon, black pepper, molasses	3.25
2856	Sleepwalk	U.S.A.	2023	Mexico	Blend, South Mexico, "Barra de la Casa"	70%	2- B,S	mild molasses, burnt fudge	3
2816	Shane Chocolate Works	U.S.A.	2023	Blend	Ghana, Colombia, House Blend	68.5%	3- B,S,C	vanilla, candy-like, cocoa, acidic	3
2820	Schoki	Canada	2023	Tanzania	Kokoa Kamili, batch 22	72%	3- B,S,C	rich, cherry, fig, chocolatey	3.5
2820	Schoki	Canada	2023	Dominican Republic	Zorzal, batch 23	72%	3- B,S,C	bold, molasses, tobacco, plant	3.5
2840	Ruket	Italy	2023	Grenada	L'Esterre Estate, lot 02G	73%	2- B,S	even flavor, prune, molasses	3.25
2832	Riversea	U.S.A.	2023	Brazil	Gomes, Castanhal, "microlot select"	72%	3- B,S,C	floral, spice, strong mint	3
2880	Puchero	Spain	2023	Nicaragua	El Castillero	70%	3- B,S,C	astringent,prune,wood,molasses	3
2872	Puchero	Spain	2023	India	Idukki	68%	3- B,S,C	mild caramel, bubblegum	3.5
2828	Audaces	France	2023	France (Reunion)	La Reunion	70%	2- B,S	woody, nut skins, medicinal	2.75
2868	Aruntam	Italy	2023	Venezuela	Chuao, 2020 Harvest, Uncommon line	70%	4- B,S,C,L	slow, mild plum, caramel, sour	3
2872	Aruntam	Italy	2023	Peru	Maranon, Uncommon line	70%	4- B,S,C,L	grapes, pinapple, mint	3
2868	Aruntam	Italy	2023	Nicaragua	Chuno, Uncommon line	73%	4- B,S,C,L	harsh, tobacco, burnt, woody	3
2876	Nostalgia	U.S.A.	2023	Costa Rica	Hacienda Azul, Turialba, Cartago	68%	2- B,S	slow to develop, brown spice	3
2876	Nostalgia	U.S.A.	2023	Colombia	Huila	70%	2- B,S	toffee, slight tart, astringent	3
2864	Nibbo	China	2023	Tanzania	Tanzania	70%	2- B,S	texture of a granola bar, bland	2.75
2876	Nearynogs	Ireland	2023	Nicaragua	Kubaly, Waslala, b. 231018	70%	2- B,S	hone, nutty, marzipan	3.25
2872	Nearynogs	Ireland	2023	Cuba	Baracoa, Guantanamo, Beuna Vista S.C., b. 231017	65%	2- B,S	earthy, woody, mineral, sweet	3
2872	Monsoon	U.S.A.	2023	Tanzania	Kokoa Kamili, Kilombero Valley, b. 12	77%	3- B,S,C	tart, cranberry, mild bitterness	3.5
2864	Minimal	Japan	2023	Colombia	Arhuaco	65%	2- B,S	rustic, sweet, sour	2.75
2868	Meybol	Germany	2023	Peru	VRAEM	72%	3- B,S,C	sl. fatty, raisins, pungency	3.25
2868	Meybol	Germany	2023	Peru	Amazonas	70%	3- B,S,C	intense, pear, sl. grape, pungent	3.25
2824	McGuire	Canada	2023	Vietnam	Ben Tre, Mekong Delta, batch 338-01	70%	3- B,S,C	cashew, cheese, molasses	3
2824	McGuire	Canada	2023	Tanzania	Kokoa Kamili, Mbingu Village	70%	3- B,S,C	sl. Nutty, mild cherry, cocoa	3.5
2824	McGuire	Canada	2023	Madagascar	Bejofo, Sambirano, batch 305-03	75%	3- B,S,C	sl. Fruity, burnt raspberry	3
2832	Aroko	Italy	2023	Venezuela	Chuao	70%	3- B,S,C	mild fruit, chocolatey	3.5
2828	Aroko	Italy	2023	Venezuela	Porcelana, maracaibo, criollo	72%	3- B,S,C	strong nutty, rich cocoa	3.5
2836	Lydgate Farms (Manoa)	U.S.A.	2023	U.S.A.	Wailua Estate, Hawaii, spring 2023 harvest	70%	3- B,S,C	distinct, banana, dairy, sl. sweet	3.5
2820	Kasama	Canada	2023	Peru	Chuncho, Urubamba Valley, batch 4	75%	3- B,S,C	pungent, blueberry, spice	3.5
2820	Kasama	Canada	2023	Ecuador	Costa Esmeraldas, batch 22	70%	3- B,S,C	hay, floral, red wine	3.5
2848	Jacek	Canada	2023	Dominican Republic	Duarte Province	70%	3- B,S,C	spicy, dried fruit,	3.25
2860	2U	Japan	2023	Vietnam	Ben Tre	70%	3- B,S, L	tart, sour, rancid like	2.5
2840	Great Lakes	U.S.A.	2023	Vietnam	Lam Dong, batch 0008	78%	3- B,S,C	fatty, fig, muted, roasty	3.25
2840	Great Lakes	U.S.A.	2023	Dominican Republic	El Cibao, Duarte P. batch 0020	75%	3- B,S,C	earthy, rubbery, mild bitterness	3
2840	Great Lakes	U.S.A.	2023	Belize	Maya Mountain, Toledo District, batch 0037	70%	3- B,S,C	cocoa, muted, roasty	3
2860	Goodnow	U.S.A.	2023	Nicaragua	Yasica River, Matagalpa, b. 1356	70%	3- B,S,C	orange, sl. sour, tart, cream	3.75
